"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","AVWAGE","TOT","USD","A","1990",44721.3530511168,
"USA","AVWAGE","TOT","USD","A","1991",45052.2633678448,
"USA","AVWAGE","TOT","USD","A","1992",46106.1792760464,
"USA","AVWAGE","TOT","USD","A","1993",45838.8862599047,
"USA","AVWAGE","TOT","USD","A","1994",45665.4824100438,
"USA","AVWAGE","TOT","USD","A","1995",45944.6805595796,
"USA","AVWAGE","TOT","USD","A","1996",46615.742654448,
"USA","AVWAGE","TOT","USD","A","1997",47779.1332298234,
"USA","AVWAGE","TOT","USD","A","1998",49759.3727011321,
"USA","AVWAGE","TOT","USD","A","1999",51072.7096198922,
"USA","AVWAGE","TOT","USD","A","2000",52801.1819313005,
"USA","AVWAGE","TOT","USD","A","2001",53243.9837062547,
"USA","AVWAGE","TOT","USD","A","2002",53652.4155429885,
"USA","AVWAGE","TOT","USD","A","2003",54279.6347595294,
"USA","AVWAGE","TOT","USD","A","2004",55334.6640364282,
"USA","AVWAGE","TOT","USD","A","2005",55391.0422213796,
"USA","AVWAGE","TOT","USD","A","2006",56297.9457670566,
"USA","AVWAGE","TOT","USD","A","2007",57419.626638872,
"USA","AVWAGE","TOT","USD","A","2008",57192.3202321698,
"USA","AVWAGE","TOT","USD","A","2009",57687.315415598,
"USA","AVWAGE","TOT","USD","A","2010",58054.3811687826,
"USA","AVWAGE","TOT","USD","A","2011",58200.1413360588,
"USA","AVWAGE","TOT","USD","A","2012",58669.213014264,
"USA","AVWAGE","TOT","USD","A","2013",58411.6324256051,
"USA","AVWAGE","TOT","USD","A","2014",59249.9229499367,
"USA","AVWAGE","TOT","USD","A","2015",60691.6617126804,
"USA","AVWAGE","TOT","USD","A","2016",60685.8079109297,
"USA","AVWAGE","TOT","USD","A","2017",60558.3581202393,
